timestamp,ride_id,vehicle_type,scheduled_pickup_time,auction_start_time,auction_amount,auction_currency,pickup_location,dropoff_location,distance,duration,meet_and_greet,has_driver_instruction,is_available,can_accept,meets_criteria,rejection_reason
2025-05-25 12:47:37,4792276,Minibus-7,2025-06-07 15:00,2025-05-25 18:00,160.00,MYR,"Kuala Lumpur International Airport (KUL), 64000 Sepang, Selangor, Malaysia","Trion @ KL, Jalan Dua, Chan Sow Lin, 55200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",61051,3012,True,True,True,False,False,Cannot accept
2025-05-25 12:47:37,4792517,Sedan,2025-05-30 15:10,2025-05-25 18:00,60.00,MYR,"Kuala Lumpur International Airport (KUL), 64000 Sepang, Selangor, Malaysia","Unnamed Road, Kuala Lumpur City Centre, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",66498,3310,True,False,True,False,False,Cannot accept
2025-05-25 12:47:37,4792517,Sedan,2025-05-30 15:10,2025-05-25 18:00,60.00,MYR,"Kuala Lumpur International Airport (KUL), 64000 Sepang, Selangor, Malaysia","Unnamed Road, Kuala Lumpur City Centre, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",66498,3310,True,False,True,False,False,Cannot accept
2025-05-25 12:47:38,4699087,Sedan,2025-06-25 09:30,2025-05-25 18:00,60.00,MYR,"Kuala Lumpur International Airport (KUL), 64000 Sepang, Selangor, Maleisië","The RuMa Hotel and Residences, Top Hat Restaurant, 7, Jalan Kia Peng, Kuala Lumpur, 50450 Kuala Lumpur, Wilayah Persekutuan Kual",64793,3194,True,False,True,False,False,Cannot accept
2025-05-25 12:47:38,4792517,Sedan,2025-05-30 15:10,2025-05-25 18:00,60.00,MYR,"Kuala Lumpur International Airport (KUL), 64000 Sepang, Selangor, Malaysia","Unnamed Road, Kuala Lumpur City Centre, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",66498,3310,True,False,True,False,False,Cannot accept
2025-05-25 12:47:38,4792358,MPV-5,2025-05-30 19:35,2025-05-25 18:00,90.00,MYR,"Kuala Lumpur International Airport (KUL), 64000 Sepang, Selangor, Malaysia","Premier Sky Pool At Star klcc, Colony, Level 5, Star Boulevard, 1, Jalan Yap Kwan Seng, Kampung Baru, 50450 Kuala Lumpur, Wilaya",66391,3242,True,False,True,False,False,Cannot accept
2025-05-25 12:47:38,4792358,MPV-5,2025-05-30 19:35,2025-05-25 18:00,90.00,MYR,"Kuala Lumpur International Airport (KUL), 64000 Sepang, Selangor, Malaysia","Premier Sky Pool At Star klcc, Colony, Level 5, Star Boulevard, 1, Jalan Yap Kwan Seng, Kampung Baru, 50450 Kuala Lumpur, Wilaya",66391,3242,True,False,True,False,False,Cannot accept
2025-05-25 12:47:38,4792276,Minibus-7,2025-06-07 15:00,2025-05-25 18:00,160.00,MYR,"Kuala Lumpur International Airport (KUL), 64000 Sepang, Selangor, Malaysia","Trion @ KL, Jalan Dua, Chan Sow Lin, 55200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",61051,3012,True,True,True,False,False,Cannot accept
2025-05-25 12:47:38,4792276,Minibus-7,2025-06-07 15:00,2025-05-25 18:00,160.00,MYR,"Kuala Lumpur International Airport (KUL), 64000 Sepang, Selangor, Malaysia","Trion @ KL, Jalan Dua, Chan Sow Lin, 55200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",61051,3012,True,True,True,False,False,Cannot accept
2025-05-25 12:47:39,4792358,MPV-5,2025-05-30 19:35,2025-05-25 18:00,90.00,MYR,"Kuala Lumpur International Airport (KUL), 64000 Sepang, Selangor, Malaysia","Premier Sky Pool At Star klcc, Colony, Level 5, Star Boulevard, 1, Jalan Yap Kwan Seng, Kampung Baru, 50450 Kuala Lumpur, Wilaya",66391,3242,True,False,True,False,False,Cannot accept
2025-05-25 12:47:39,4782890,Sedan,2025-06-25 12:30,2025-05-25 18:00,63.50,MYR,KLIA T1,Genting SkyWorlds Hotel,112320,6259,False,False,True,False,False,Cannot accept
